Date,Open,High,Low,Close,Adj Close,Volume
01-02-2010,4882.049805,4918.799805,4827.149902,4899.700195,4899.700195,0
02-02-2010,4907.850098,4951.149902,4814.100098,4830.100098,4830.100098,0
03-02-2010,4831,4949.149902,4831,4931.850098,4931.850098,0
04-02-2010,4931.299805,4931.299805,4832.350098,4845.350098,4845.350098,0
05-02-2010,4819.649902,4827,4692.350098,4718.649902,4718.649902,0
06-02-2010,null,null,null,null,null,null
08-02-2010,4755.350098,4799.049805,4675.399902,4760.399902,4760.399902,0
09-02-2010,4760.549805,4810.399902,4739.350098,4792.649902,4792.649902,0
10-02-2010,4793,4826.850098,4748.100098,4757.200195,4757.200195,0
11-02-2010,4757.25,4843.799805,4757.25,4826.850098,4826.850098,0
15-02-2010,4827.899902,4845.600098,4783.899902,4801.950195,4801.950195,0
16-02-2010,4801.799805,4880,4791.350098,4855.75,4855.75,0
17-02-2010,4858.649902,4929.700195,4857.600098,4914,4914,0
18-02-2010,4915.100098,4922.049805,4873.700195,4887.75,4887.75,0
19-02-2010,4887.299805,4887.299805,4805.549805,4844.899902,4844.899902,0
22-02-2010,4849.350098,4912.049805,4845.899902,4856.399902,4856.399902,0
23-02-2010,4856.600098,4884.100098,4833.149902,4870.049805,4870.049805,0
24-02-2010,4869.549805,4880.549805,4834.649902,4858.600098,4858.600098,0
25-02-2010,4859,4880.149902,4835.600098,4859.75,4859.75,0
26-02-2010,4858.5,4992,4858.450195,4922.299805,4922.299805,0
02-03-2010,4935.600098,5029.450195,4935.350098,5017,5017,0
03-03-2010,5015.799805,5093.25,5015.100098,5088.100098,5088.100098,0
04-03-2010,5096.950195,5096.950195,5049,5080.25,5080.25,0
05-03-2010,5080.549805,5118.649902,5068.049805,5088.700195,5088.700195,0
08-03-2010,5092.149902,5147.100098,5092.149902,5124,5124,0
09-03-2010,5121.049805,5131.799805,5094.350098,5101.5,5101.5,0
10-03-2010,5101.600098,5137.399902,5092.049805,5116.25,5116.25,0
11-03-2010,5116.350098,5152.600098,5102.100098,5133.399902,5133.399902,0
12-03-2010,5131.799805,5158.100098,5122.100098,5137,5137,0
15-03-2010,5134.450195,5151.049805,5101.200195,5128.899902,5128.899902,0
16-03-2010,5128.950195,5209.25,5125.700195,5198.100098,5198.100098,0
17-03-2010,5198.450195,5260.5,5177.149902,5231.899902,5231.899902,0
18-03-2010,5232.549805,5255.649902,5214.399902,5245.899902,5245.899902,0
19-03-2010,5246.799805,5269.950195,5237.100098,5262.799805,5262.799805,0
22-03-2010,5260.950195,5260.950195,5187.049805,5205.200195,5205.200195,0
23-03-2010,5205.850098,5243.600098,5193.399902,5225.299805,5225.299805,0
25-03-2010,5225.299805,5267.299805,5202.950195,5260.399902,5260.399902,0
26-03-2010,5260.549805,5293.75,5260.549805,5282,5282,0
